enemyType,appearTime,positionX,positionZ,hp,score,moveSpeedCoef,movePattern,shootPattern,timeToStartShooting,shootingCycleTime,bulletSpeed,isItemHolder
2,2,-2,12,3,3,3,GoThrough,Straight,0,1,6,false
2,2,0,12,3,3,3,GoThrough,Straight,0,1,6,false
2,2,2,12,3,3,3,GoThrough,Straight,0,1,6,false
2,2.5,-2,12,3,3,3,GoThrough,Straight,0,1,6,false
5,2.5,0,12,1,1,3,GoThrough,NotShooting,0,1,6,true
2,2.5,2,12,3,3,3,GoThrough,Straight,0,1,6,false
2,3,-2,12,3,3,3,GoThrough,Straight,0,1,6,false
2,3,0,12,3,3,3,GoThrough,Straight,0,1,6,false
2,3,2,12,3,3,3,GoThrough,Straight,0,1,6,false
4,5,-2,12,5,5,2,GoThrough,AllDirections,0,1.2,7,false
4,6,0,12,5,5,2,GoThrough,AllDirections,0,1.2,7,false
4,7,2,12,5,5,2,GoThrough,AllDirections,0,1.2,7,false
3,9,-2,12,5,5,7,GoThrough,ToPlayer,0,0.7,8,false
3,9.5,-2,12,5,5,7,GoThrough,ToPlayer,0,0.7,8,false
3,10,-2,12,5,5,7,GoThrough,ToPlayer,0,0.7,8,false
3,10.5,-2,12,5,5,7,GoThrough,ToPlayer,0,0.7,8,false
1,12,2,12,1,1,3,N,Straight,0,1.2,6,false
1,12.5,2,12,1,1,3,N,Straight,0,1.2,6,false
1,13,2,12,1,1,3,N,Straight,0,1.2,6,false
2,14,-2,12,3,3,3,AppearAndShootAndBye,ToPlayer,0,1,6,false
2,14,0,12,3,3,3,AppearAndShootAndBye,ToPlayer,0,1,6,false
2,14,2,12,3,3,3,AppearAndShootAndBye,ToPlayer,0,1,6,false
4,16,-2,12,5,5,3,NInvert,AllDirections,0,1.2,7,false
4,17,-2,12,5,5,3,NInvert,AllDirections,0,1.2,7,false
4,18,-2,12,5,5,3,NInvert,AllDirections,0,1.2,7,false
2,20,-2,12,3,3,3,UFromLeft,NotShooting,10,10,0,false
2,20.5,-2,12,3,3,3,UFromLeft,NotShooting,10,10,0,false
2,21,-2,12,3,3,3,UFromLeft,NotShooting,10,10,0,false
2,20,2,12,3,3,3,UFromRight,NotShooting,10,10,0,false
2,20.5,2,12,3,3,3,UFromRight,NotShooting,10,10,0,false
2,21,2,12,3,3,3,UFromRight,NotShooting,10,10,0,false
1,23,-2,12,1,1,10,NInvert,ToPlayer,0,1.2,9,false
1,23.5,-2,12,1,1,10,NInvert,ToPlayer,0,1.2,9,false
1,24,-2,12,1,1,10,NInvert,ToPlayer,0,1.2,9,false
1,24.5,-2,12,1,1,10,NInvert,ToPlayer,0,1.2,9,false
1,25,-2,12,1,1,10,NInvert,ToPlayer,0,1.2,9,false
2,27,-2,12,3,3,3,AppearAndShootAndBye,ToPlayer,0,1,6,false
2,27,0,12,3,3,3,AppearAndShootAndBye,ToPlayer,0,1,6,false
2,27,2,12,3,3,3,AppearAndShootAndBye,ToPlayer,0,1,6,false
0,30,0,12,50,20,,,,,,,
